,,A,B.E.,CDS-PP,CH,IL,JPP,L,MAS,MPT,NC,PAN,PCP-PEV,PCTP/MRPP,PDR,PNR,PPD/PSD,PPM,PS,PTP,PURP,R.I.R.
091404,284,1,1,3,1,0,,0,,0,0,1,0,0,1,0,66,1,54,0,1,0
091405,245,0,5,2,0,0,,1,,0,0,3,2,0,0,0,49,0,36,0,0,0
091407,254,1,3,2,0,1,,1,,0,1,4,1,0,0,0,37,0,61,0,0,1
091410,329,0,12,9,0,1,,0,,0,0,2,4,0,0,0,71,0,43,0,0,1
091411,288,0,9,13,0,0,,0,,0,2,1,0,0,0,0,54,0,52,0,0,3
091412,296,0,4,5,0,1,,0,,0,0,0,1,0,0,0,53,0,37,0,0,1
091414,274,0,6,14,1,0,,0,,0,0,2,3,0,0,0,43,0,64,1,0,0
091415,328,0,5,6,0,0,,1,,0,0,2,6,1,0,0,57,0,45,0,0,2
091416,237,1,15,4,0,0,,0,,0,1,1,0,0,0,0,40,0,18,0,0,1
091418,580,0,6,12,4,1,,0,,0,0,4,6,0,0,1,96,0,102,1,0,1
091419,3307,4,113,68,16,10,,5,,4,0,25,70,10,1,1,519,0,575,1,8,7
100102,3268,17,120,104,18,16,4,12,2,4,1,33,35,8,4,2,595,5,531,1,1,13
100104,1313,5,69,38,6,2,0,7,1,1,1,14,46,7,0,2,215,1,320,0,0,2
100105,7395,59,334,293,95,55,1,47,3,10,12,110,115,13,13,13,2078,7,992,7,14,26
100106,2797,20,118,68,13,5,3,7,0,2,4,24,59,16,5,6,544,3,508,2,2,16
100108,3752,20,156,159,37,16,5,12,3,2,5,49,66,21,2,8,942,2,679,4,3,18
100109,1668,5,111,31,18,6,0,15,0,1,2,18,73,11,2,2,187,0,452,0,1,6
100112,2684,19,123,77,20,16,1,17,1,8,1,39,44,14,13,9,403,2,431,5,8,8
100114,3715,27,148,195,38,17,0,22,1,4,3,51,39,15,5,3,1041,7,417,5,1,18
100116,1634,8,25,76,11,4,0,9,0,0,1,14,17,1,2,2,616,3,180,1,0,7
100120,5600,30,239,153,53,23,3,24,3,4,10,76,113,23,6,14,930,4,959,7,7,24
100121,6163,55,322,191,55,38,1,29,1,9,12,121,185,33,8,13,990,5,1089,5,5,19
100122,2704,11,143,49,20,12,2,15,0,3,2,41,72,13,6,3,304,3,629,2,3,23
100123,5834,29,365,83,46,28,4,26,3,15,9,90,197,35,9,11,759,4,1333,8,6,34
100201,582,3,12,28,2,0,0,0,0,0,2,2,5,1,0,1,165,3,79,0,0,0
100204,1502,7,37,70,3,1,2,3,0,5,0,14,7,4,1,1,448,1,196,0,3,2
100205,768,0,10,30,7,0,0,1,1,3,1,5,4,0,0,1,196,2,56,2,0,2
100208,1660,9,48,79,24,5,1,2,2,2,0,16,11,3,3,1,467,5,237,5,1,6
100209,1609,4,57,81,18,2,2,5,0,3,2,14,13,6,2,1,462,2,209,3,3,5
100301,967,1,22,17,9,2,1,3,1,1,0,11,4,3,1,1,205,3,221,3,2,3
100303,1848,5,68,40,12,2,2,5,1,4,3,30,27,6,0,2,423,4,381,2,1,5
100304,1699,9,44,35,5,4,1,7,0,4,2,19,19,2,4,1,452,0,331,3,1,5
100306,854,2,20,22,7,3,1,3,0,1,0,6,7,2,2,1,236,0,161,0,0,4
100307,2720,11,69,39,26,18,0,4,2,4,4,23,17,6,8,2,820,3,357,4,4,10
100309,3275,12,113,70,27,14,0,18,4,6,2,40,52,8,6,6,697,2,707,2,6,17
100401,7474,44,436,333,59,69,7,39,2,12,14,120,109,29,13,21,1502,10,1131,12,11,45
100402,1906,6,61,79,15,10,2,7,1,4,0,34,24,5,4,5,400,3,357,2,2,11
100403,3284,20,94,170,26,19,4,15,0,6,4,37,18,11,8,3,1069,4,310,7,5,18
100404,1330,13,74,79,7,14,1,7,2,3,4,26,17,2,3,2,326,3,221,1,2,5
100502,2235,5,96,84,15,6,0,14,2,1,3,33,38,6,2,0,372,5,447,2,2,8
100503,2194,6,90,100,20,5,0,8,1,3,1,31,108,16,7,7,344,3,359,5,2,9
100505,698,1,14,31,4,3,1,0,0,1,0,6,14,1,2,3,133,2,160,0,2,2
100506,5954,29,347,181,52,20,1,39,3,6,6,103,243,26,8,10,762,9,1155,2,6,24
100601,1411,3,57,39,7,2,0,6,0,2,1,13,23,4,2,2,310,2,224,1,1,5
100602,2489,16,100,72,12,7,0,5,1,4,2,30,24,10,6,2,581,1,366,3,4,15
100604,1044,5,31,43,9,3,0,2,0,1,0,15,8,1,3,1,300,1,137,3,3,4
100606,1210,4,58,46,16,7,0,6,0,1,2,28,29,5,0,2,184,0,217,0,2,4
100607,971,5,27,37,6,6,1,3,0,1,0,6,8,2,0,2,255,2,148,1,0,1
100608,1612,14,123,56,12,7,3,5,0,5,3,33,27,5,7,2,327,1,228,3,1,2
100609,2237,9,115,63,10,9,2,9,1,2,4,37,30,6,3,2,432,6,378,2,2,4
100611,2624,9,104,141,18,8,0,15,0,6,1,27,30,9,3,9,665,1,350,1,2,6
100615,924,4,37,28,8,4,0,5,0,1,0,9,9,0,0,1,238,1,140,1,3,5
100617,16532,111,950,457,135,96,5,134,2,24,11,312,460,48,17,25,2610,14,2709,8,25,36
100618,10561,52,661,198,90,54,4,64,6,19,19,214,260,52,16,19,1140,11,1714,6,12,34
100619,3796,22,276,70,26,19,2,27,0,3,7,62,91,10,4,4,490,5,709,2,4,18
100703,2645,12,125,71,6,8,0,3,1,0,2,24,40,13,2,2,360,4,733,1,1,8
100801,963,1,30,37,7,2,0,0,0,0,1,10,8,2,1,0,234,2,192,0,1,2
100802,798,0,22,20,7,6,0,1,1,0,0,12,5,0,1,1,195,1,150,1,2,4
100803,183,0,4,1,1,1,0,0,0,0,3,0,1,3,1,0,36,0,35,0,0,0
100806,3511,10,100,73,21,11,0,15,1,4,4,46,25,6,5,2,722,5,739,0,7,11
100901,4088,30,221,163,30,29,4,27,0,10,7,68,69,25,10,2,622,6,738,3,6,20
100902,2397,11,117,141,14,15,5,10,1,5,6,44,29,7,0,9,603,6,371,3,4,10
100907,4376,21,123,211,37,23,3,12,0,8,6,62,25,12,3,6,1366,6,554,4,5,14
100909,1654,4,74,48,16,6,1,10,0,2,1,39,19,6,4,1,236,0,305,3,1,11
100913,8425,31,496,224,75,37,6,28,7,20,13,136,153,49,14,14,1304,9,1775,7,13,37
100915,2836,15,117,95,12,15,1,16,2,6,0,26,17,11,3,4,621,5,410,1,2,12
100921,1866,34,73,91,20,9,0,11,0,18,5,24,32,10,2,2,333,3,384,2,2,6
100925,1791,8,51,127,14,15,2,13,1,0,2,52,14,3,1,2,650,1,184,3,0,7
100926,2061,12,44,81,20,9,2,10,1,2,3,23,5,2,2,3,767,1,173,1,3,17
100932,3991,12,93,109,10,19,0,14,1,7,4,47,16,7,6,4,969,7,458,1,1,8
100933,28721,238,1896,967,242,250,13,195,10,57,46,611,617,83,25,38,5662,30,5203,28,32,72
100934,21567,176,1293,526,208,132,6,175,11,39,38,461,474,62,19,46,3184,21,3733,19,24,80
100935,4996,23,307,154,38,19,2,33,2,12,6,91,75,21,8,11,829,7,973,6,9,33
100936,4853,23,209,251,22,22,3,16,5,10,10,87,82,18,4,14,972,8,773,5,7,26
100937,6267,43,452,210,55,61,3,39,5,10,10,135,118,25,10,5,1258,3,1230,3,8,29
100938,4252,14,131,270,16,24,1,18,1,6,8,54,13,4,13,3,1668,5,453,7,4,19
100939,3767,21,144,209,48,24,2,17,2,10,6,47,37,18,5,7,1051,2,499,2,1,10
100940,5113,31,226,324,45,25,5,29,3,10,15,59,33,16,4,4,1300,9,687,5,9,28
101001,27809,138,2144,376,227,143,15,137,16,48,61,567,2176,221,22,42,2451,21,5125,42,32,91
101002,5146,16,382,52,27,19,4,17,3,9,9,79,258,28,5,17,490,10,959,2,4,15
101003,1217,4,90,14,5,5,1,6,0,2,2,13,102,14,2,5,79,2,289,1,0,6
101101,1493,6,98,44,2,3,0,6,1,2,5,25,30,5,6,2,220,3,298,2,1,10
101102,10155,27,502,91,51,30,0,27,4,14,9,102,237,34,5,4,875,10,1692,4,11,25
101103,2761,7,194,50,9,7,4,13,2,1,3,27,140,15,4,6,279,3,469,1,7,9
101201,1305,6,82,29,9,5,1,3,0,1,2,20,35,7,1,3,166,2,311,1,1,7
101202,897,2,49,18,5,1,0,2,0,1,2,16,16,3,0,0,131,0,172,0,1,1
101203,1152,5,47,21,7,5,3,9,0,2,4,23,49,9,0,0,142,0,200,0,0,6
101207,841,5,37,23,7,6,1,2,0,0,0,6,9,3,0,3,143,3,148,0,1,2
101208,2023,14,137,42,16,13,1,17,1,2,5,42,69,8,0,4,336,1,485,3,2,7
101209,815,3,30,26,11,3,2,5,0,0,2,8,12,1,0,0,220,1,88,3,1,5
101210,3375,15,166,78,31,22,2,12,0,5,2,51,89,18,1,3,502,3,653,2,5,23
101301,659,8,12,11,8,2,0,1,0,0,0,4,2,1,1,2,149,0,104,0,0,0
101302,2028,8,71,39,38,1,0,0,2,1,4,13,20,7,1,3,422,3,403,1,0,6
101303,495,4,18,2,2,0,0,1,0,0,0,9,9,3,0,0,140,3,96,0,0,0
101402,8033,20,379,166,82,40,5,35,6,15,13,124,180,28,8,12,1264,15,1401,4,12,45
101405,1169,8,59,17,17,2,3,2,0,4,1,20,40,15,0,2,118,4,253,5,1,10
101406,2501,8,89,33,13,7,0,5,0,6,1,32,50,9,1,5,250,2,503,2,3,12
101407,12627,41,575,121,122,31,4,48,2,9,17,181,572,82,8,18,1030,8,2091,2,18,62
101501,2615,7,44,51,20,8,0,5,1,2,1,6,14,6,4,2,596,4,196,4,2,6
101503,2998,7,85,82,15,10,2,3,2,2,1,28,10,4,7,1,576,6,349,1,3,4
101504,1687,7,34,57,7,9,1,0,0,0,1,11,3,2,2,1,504,5,99,3,0,4
101505,3171,14,130,88,30,9,3,17,0,7,4,37,15,9,5,4,624,4,471,4,9,24
101506,4168,21,201,110,20,13,1,28,1,5,5,61,48,11,19,4,800,6,590,4,6,17
101508,1912,8,59,50,15,10,0,8,1,2,3,19,7,3,0,0,357,3,308,2,1,6
101509,15361,51,706,340,172,69,7,64,3,25,20,210,189,37,25,19,2285,12,2103,10,18,56
101510,1946,10,79,38,20,5,0,5,0,4,2,20,16,7,3,1,289,3,361,2,2,8
101513,2625,8,74,79,19,6,2,10,2,7,4,25,26,7,4,3,591,3,300,4,2,10
101514,1423,4,46,47,13,8,0,5,1,5,3,10,13,3,0,0,283,1,156,1,1,5
101515,1571,9,39,69,14,14,1,9,0,2,1,18,13,5,2,3,523,3,139,0,2,5
101518,5763,35,206,139,41,16,7,35,5,7,7,70,30,16,8,9,1424,9,704,5,5,36
101519,4819,16,153,116,45,6,3,10,1,6,3,48,56,11,10,4,876,10,637,4,4,16
101602,1593,6,85,42,8,13,5,11,0,0,2,14,26,5,3,2,310,3,299,2,0,10
101605,2095,18,113,61,18,10,1,9,0,5,3,42,39,22,6,4,336,4,410,0,3,7
101606,2754,15,136,94,7,14,2,16,3,3,3,37,47,13,5,2,525,3,523,4,3,18
101608,3156,15,168,55,18,16,2,11,0,6,5,76,55,13,7,8,483,4,653,1,3,9
101609,2263,15,88,60,16,8,1,11,1,2,3,36,25,10,2,4,453,4,422,3,5,16
101610,770,3,19,39,1,0,1,2,0,0,0,6,6,3,1,1,249,1,52,1,1,2
101613,821,5,41,37,10,7,2,3,2,2,3,12,6,2,0,1,227,0,109,2,3,12
101614,5390,36,295,172,33,31,3,31,2,11,6,54,76,26,10,6,1040,9,890,9,6,25
101615,698,6,25,30,7,3,0,6,0,1,0,4,5,0,0,0,231,0,76,0,1,4
101616,1347,6,66,58,2,5,1,11,0,4,4,13,13,3,5,4,415,5,228,1,1,18
110106,1350,8,62,24,11,5,,8,2,0,1,21,71,13,0,2,167,1,316,3,0,9
110107,1419,4,52,30,8,5,,5,0,2,0,22,110,13,2,4,120,0,445,1,0,8
110108,1552,4,81,25,15,2,,13,2,1,2,13,104,12,4,3,232,1,465,2,0,8
110109,1019,8,71,44,18,1,,6,0,1,1,19,67,14,7,3,105,1,246,0,0,1
110113,1675,9,72,40,11,6,,9,0,1,1,22,65,12,3,5,229,4,494,3,1,6
110114,953,6,44,24,7,1,,4,0,0,0,7,23,6,2,1,103,1,267,0,1,6
110117,3556,14,191,71,19,13,,18,4,7,8,45,278,50,21,8,345,6,897,5,4,17
110118,2463,16,120,53,21,16,,11,3,4,4,29,160,27,12,4,299,2,600,2,0,6
110119,9456,58,566,203,105,87,,76,9,16,11,173,508,65,31,22,1078,12,2068,9,6,39
110120,10770,53,638,190,125,60,,58,10,19,19,208,550,74,56,29,834,14,1963,9,8,31
110121,1292,2,75,21,8,4,,5,0,0,3,14,62,8,0,3,140,0,370,1,0,2
110201,2044,15,85,33,12,5,,7,0,2,4,32,62,4,5,2,391,0,517,1,3,1
110202,7290,66,389,200,85,94,,66,8,11,9,165,331,32,12,17,1014,13,1728,2,5,20
110203,636,1,42,9,9,6,,1,0,0,0,9,42,7,1,2,108,1,146,0,0,0
110204,1115,4,62,16,9,11,,6,1,4,2,27,47,5,1,3,137,2,321,1,0,4
110301,2339,4,128,37,44,7,,10,1,4,1,33,86,14,17,4,231,3,522,5,2,6
110302,1086,7,76,18,22,16,,9,1,2,0,35,79,14,2,1,104,1,250,3,1,3
110303,3982,15,259,37,32,11,,14,1,6,7,61,266,38,34,4,233,5,814,4,4,11
110304,6797,45,452,143,86,64,,35,6,6,2,99,381,42,39,23,664,9,1370,2,12,23
110306,803,1,59,7,8,0,,5,1,1,0,12,57,9,1,2,46,2,244,1,4,2
110307,696,4,52,8,24,5,,3,0,0,2,14,51,4,5,1,56,1,184,3,1,3
110310,1857,6,137,9,21,9,,29,1,9,2,27,154,22,12,7,183,2,432,1,4,2
110401,699,4,34,9,2,5,,2,0,0,0,10,20,2,4,2,122,0,196,0,1,4
110407,796,3,44,22,14,3,,5,0,1,0,14,20,3,2,0,139,0,151,0,0,6
110409,1096,3,39,25,8,4,,4,2,1,0,19,13,3,2,3,201,1,263,1,1,1
110410,1462,7,52,45,17,5,,4,2,2,1,30,23,6,4,4,321,5,240,3,2,3
110411,3112,9,131,51,33,10,,21,3,4,1,33,72,15,11,2,476,4,576,1,4,10
110412,3057,16,126,46,28,6,,11,2,3,3,40,66,19,21,3,441,7,785,3,7,13
110413,1614,6,46,19,7,8,,6,0,1,1,28,41,8,6,2,239,1,360,2,1,3
110501,35289,401,1545,1046,376,445,,230,20,51,52,884,927,167,28,92,4761,55,6264,27,39,68
110506,48788,420,2792,1076,567,555,,480,26,85,89,1485,1920,239,45,157,6052,48,10156,21,47,116
110507,38639,408,2167,1468,311,811,,585,8,52,52,1236,1279,94,29,68,7111,38,7323,13,43,45
110508,54782,510,1995,2906,438,1265,,528,11,68,73,1232,1208,138,26,109,10516,43,7665,18,42,62
110601,13165,102,691,247,113,160,,169,8,10,16,315,823,88,8,21,1179,18,3211,3,9,19
110602,11800,88,629,340,95,273,,250,5,20,13,267,582,63,8,18,1508,7,2599,6,14,19
110607,10760,68,609,184,109,118,,105,9,12,13,282,571,61,7,20,1024,17,2463,10,12,18
110608,33020,274,1898,910,294,530,,510,25,41,47,838,1515,105,25,52,4862,30,7975,13,42,52
110610,13075,119,701,389,95,349,,186,20,20,22,300,556,52,11,28,1814,11,2736,7,15,30
110611,16216,127,873,535,140,359,,262,11,14,21,394,886,65,9,35,2596,16,3558,10,16,19
110618,39197,446,2049,1816,332,1390,,799,14,51,66,979,1424,106,24,66,8192,28,7938,14,44,71
110621,33962,151,1821,394,382,167,,263,29,43,48,710,1459,214,30,88,2194,48,7905,57,50,79
110633,29832,196,1926,665,321,428,,398,25,35,52,805,1582,154,21,83,3674,29,6654,17,31,49
110639,30803,331,1619,1430,220,907,,592,20,28,41,799,1108,69,17,41,6533,25,6222,6,29,33
110654,29718,379,1657,1518,246,988,,692,12,39,43,778,1156,71,24,45,6075,28,5367,14,29,49
110655,19394,239,1047,947,165,668,,510,9,21,30,477,639,49,4,23,4046,12,3299,8,30,23
110656,28219,232,1836,767,163,591,,946,15,33,52,736,1168,82,19,56,3622,31,4679,5,17,36
110657,20967,262,956,1294,158,905,,480,3,6,24,467,669,34,14,30,4650,14,3506,10,15,20
110658,14119,153,628,1059,124,589,,299,3,26,17,329,492,29,8,20,3154,16,2396,1,11,13
110659,19524,206,1066,867,146,666,,481,9,25,21,533,768,67,7,33,3361,22,3741,10,30,24
110660,16516,184,718,1168,115,728,,371,10,19,12,367,587,42,7,26,3282,16,2655,4,14,17
110661,10112,55,549,311,58,249,,276,4,12,6,250,446,41,2,18,1060,11,1766,8,4,8
110662,16833,153,837,541,145,643,,277,10,22,25,409,593,61,8,21,3203,10,3710,8,11,40
110663,24792,175,1867,414,186,302,,563,13,37,43,676,1213,108,15,59,2684,24,4877,17,23,37
110664,19152,120,770,353,237,239,,174,16,12,23,401,708,109,15,46,1775,16,3945,12,19,35
110665,9699,39,482,161,54,116,,199,7,6,7,197,474,54,3,21,717,14,1750,8,8,9
110666,10485,82,577,545,51,395,,361,5,10,7,257,359,25,4,14,1759,12,1645,1,9,11
110667,11727,67,813,192,67,124,,345,6,10,12,325,640,44,2,24,1198,21,2353,4,10,20
110702,3839,14,217,56,47,26,,33,4,8,3,89,317,31,6,17,322,3,988,6,1,16
110705,2194,7,102,42,51,12,,16,1,6,3,46,218,29,3,8,239,4,480,1,1,10
110707,24620,170,1403,441,608,296,,233,16,35,46,666,1481,144,38,72,3067,25,5357,17,23,66
110708,2602,12,134,44,36,24,,13,0,7,4,58,149,19,3,0,363,6,560,1,3,7
110726,18557,161,903,479,213,349,,224,4,17,21,451,892,71,12,20,3281,9,4356,8,21,32
110727,20054,119,1085,297,286,251,,164,11,30,22,488,1392,107,9,47,2109,18,4988,10,13,41
110728,37649,174,2323,508,599,303,,252,20,63,52,976,3387,273,66,107,3615,37,9605,19,40,104
110729,6824,24,316,92,121,56,,43,4,8,5,153,706,58,5,25,604,13,1645,3,9,27
110730,24916,122,1447,370,482,221,,235,18,36,31,650,1194,115,22,65,2250,17,5487,20,26,49
110731,27308,80,1106,311,438,97,,116,26,31,39,498,1633,194,35,93,1804,27,6616,17,30,56
110803,1545,15,40,60,8,4,,9,1,1,0,28,17,3,0,3,325,4,190,1,5,20
110805,1377,5,57,19,4,5,,5,0,4,0,19,56,6,0,0,174,0,262,1,0,5
110806,1646,5,79,75,24,11,,9,2,5,1,39,28,4,2,9,338,4,297,0,1,13
110808,1292,8,53,38,33,11,,8,1,1,2,21,24,4,1,7,235,1,208,4,0,5
110810,1813,9,47,59,15,5,,10,1,6,2,31,18,11,1,4,358,3,316,1,4,12
110812,10906,51,545,258,144,56,,63,12,12,10,217,180,38,9,23,1808,9,1920,6,4,51
110813,3084,12,121,79,50,9,,16,3,9,4,58,44,11,3,8,546,1,598,2,2,16
110814,1328,4,47,29,10,6,,11,3,2,1,23,21,8,3,6,226,3,273,5,1,11
110902,2066,23,136,48,20,17,,33,3,6,5,85,77,8,1,6,255,2,365,3,2,7
110904,3774,33,153,115,25,27,,28,4,6,3,66,69,15,4,3,933,4,588,2,3,18
110906,9116,99,485,192,106,112,,98,4,14,17,280,259,22,5,16,1342,8,1746,0,15,24
110909,15883,176,1037,356,216,182,,142,14,25,27,436,492,63,17,32,2231,17,3190,15,14,60
110911,5783,41,301,159,87,66,,75,7,14,13,157,171,30,3,20,933,10,1303,3,8,16
110913,3438,27,152,65,38,44,,34,5,8,4,131,102,9,5,11,566,2,730,3,5,5
110918,3535,31,126,78,44,14,,25,2,3,6,87,81,12,2,4,511,3,937,2,8,13
110919,2981,22,147,42,20,23,,14,3,3,10,44,90,23,3,5,414,4,683,1,2,11
110920,3634,35,171,73,40,38,,21,3,4,7,94,77,12,3,15,638,2,799,5,2,14
110921,7132,62,399,150,123,66,,49,8,9,7,191,208,34,6,21,988,3,1387,5,3,27
110922,8300,76,424,204,156,95,,77,6,22,7,255,285,33,5,23,1379,10,1838,5,8,42
111002,11905,91,737,302,178,206,,132,8,28,15,429,569,55,4,37,1650,17,2676,5,12,39
111009,12417,111,739,241,136,150,,138,6,20,27,354,498,65,19,30,1426,8,2861,3,19,40
111012,41312,421,2339,1543,308,969,,717,11,72,79,1096,1793,111,23,68,7510,38,8634,9,47,72
111013,30302,276,1708,851,311,556,,460,12,52,41,866,1263,91,25,57,4974,26,6961,15,38,60
111014,50797,505,3115,2018,421,1072,,879,22,77,83,1563,1771,143,24,82,8614,66,9964,22,54,97
111102,55771,353,3387,983,772,411,,473,39,109,83,1590,2151,267,40,174,5370,65,10974,42,64,151
111105,6477,56,350,238,65,86,,78,5,12,14,159,204,24,5,12,1078,4,1214,5,7,17
111108,40418,231,2532,678,609,321,,319,31,73,60,1040,1658,203,33,164,3765,25,8046,22,40,128
111115,10187,39,528,183,152,45,,47,3,25,15,280,349,56,10,25,955,7,2290,7,12,40
111122,35413,162,1859,447,432,185,,241,23,40,33,779,1343,172,21,123,2807,24,7574,23,39,82
111123,14139,55,721,284,182,80,,88,18,23,18,342,578,86,17,43,1844,16,3346,8,18,56
111124,31506,170,1917,464,497,206,,225,22,57,39,904,1209,151,31,126,2348,29,6405,32,33,98
111125,42767,278,2685,721,504,385,,418,32,55,51,1092,1797,164,28,116,4402,34,8694,18,46,95
111126,44064,291,2541,749,541,373,,359,27,60,61,1210,1901,196,42,156,4120,56,9123,27,56,106
111127,13955,75,715,322,164,118,,121,15,34,24,421,448,80,20,50,1962,16,2981,7,20,59
111128,24286,204,1443,821,272,436,,313,10,50,40,733,874,98,14,91,3757,23,4971,15,19,67
111201,3125,11,137,52,18,24,,17,2,4,4,49,270,37,1,5,285,9,672,1,0,7
111202,2442,12,104,59,26,23,,19,5,6,1,52,165,29,5,4,248,3,530,4,6,18
111203,2832,12,159,59,24,20,,25,2,4,5,49,254,28,3,12,343,5,626,0,4,12
111306,2116,16,82,63,26,6,,8,2,2,5,33,33,9,4,2,362,6,446,0,0,8
111310,2024,20,88,49,28,15,,10,1,6,1,33,54,6,7,2,328,2,485,5,2,5
111311,2873,18,170,57,38,18,,19,2,11,10,49,117,20,6,5,352,4,646,0,4,15
111314,4202,24,180,98,23,28,,21,4,3,5,84,92,30,4,12,589,11,979,5,3,23
111316,7807,67,438,205,91,69,,67,2,18,12,177,197,38,8,18,1232,7,1487,9,7,27
111317,2759,21,148,69,28,36,,16,1,8,1,53,108,16,6,13,358,5,671,1,3,9
111318,4349,19,152,145,35,22,,27,2,5,6,57,90,17,4,5,690,5,1032,2,1,9
111321,8983,72,463,221,121,52,,51,14,16,14,182,219,49,19,34,1460,12,1579,13,11,39
111322,3110,12,127,75,74,5,,9,6,3,1,57,64,21,6,5,498,5,549,2,6,10
111323,2003,12,102,33,13,15,,14,0,2,4,35,124,15,3,3,212,3,522,5,1,4
111324,2411,7,158,46,24,16,,12,3,5,5,39,149,28,2,3,275,5,519,1,3,2
111325,2905,10,124,53,16,7,,20,0,4,0,29,117,16,3,5,300,1,767,3,1,8
111326,22689,250,1400,528,203,212,,201,15,45,31,516,950,148,22,43,3206,26,4583,18,28,77
111408,16924,67,1064,203,324,113,,123,12,21,18,438,1387,114,33,58,1165,15,3684,16,26,50
111409,15527,102,872,303,152,112,,139,4,18,16,252,1178,114,13,33,1489,12,3235,1,18,34
111412,10557,34,686,143,132,55,,93,9,13,13,222,1145,91,22,21,876,7,2514,6,7,28
111413,29957,135,1966,475,348,276,,324,19,40,38,789,2498,204,35,75,2659,24,7168,19,39,90
111414,6634,21,386,110,63,43,,40,5,9,8,119,536,45,9,19,469,3,1478,2,5,12
111415,33749,204,2367,493,604,275,,329,33,57,60,1074,2022,182,63,106,3256,24,7827,32,28,116
111512,13950,129,835,395,179,242,,219,13,22,26,357,561,67,12,25,2233,13,3040,3,29,26
111513,31465,163,1753,450,319,210,,245,31,54,43,714,1509,149,22,95,2947,32,7527,21,46,62
111514,22870,106,1234,333,271,122,,194,25,37,30,509,1113,116,19,57,1894,30,5321,25,31,50
111515,18464,87,1131,228,213,116,,171,8,17,18,448,1066,101,11,54,1516,21,4304,10,28,39
111516,35833,206,2171,531,528,231,,307,21,45,58,991,1742,205,35,113,3419,52,8089,27,41,84
111517,22560,139,1340,403,245,192,,240,14,30,33,596,1135,97,20,80,2378,27,5049,22,31,53
111603,52209,313,2884,845,656,563,,447,47,72,90,1373,2001,218,49,150,6072,37,11850,32,64,125
111608,30000,156,1515,479,389,186,,190,22,51,46,745,1363,172,36,93,2969,39,7224,28,43,88
111609,16092,75,831,207,184,123,,105,10,21,23,362,657,72,11,48,1555,19,3574,8,25,35
111610,28143,196,1702,506,553,285,,259,20,36,41,869,1238,148,26,117,3506,32,6686,22,47,110
120101,1829,11,84,68,29,4,,3,,0,,13,93,9,1,4,277,,363,0,0,6
120102,372,2,6,14,3,0,,0,,0,,2,18,3,0,3,35,,115,1,0,0
120103,279,0,23,7,0,1,,1,,0,,3,67,4,0,1,17,,67,1,0,0
120104,259,0,10,2,3,1,,1,,0,,2,15,2,0,0,19,,97,0,1,2
120201,1616,0,53,59,26,2,,9,,1,,15,72,12,0,3,271,,360,1,0,4
120202,633,1,27,6,4,1,,0,,1,,3,13,3,0,0,77,,147,1,1,2
120203,312,0,17,7,6,0,,1,,0,,4,13,4,0,1,38,,82,0,0,3
120302,215,0,5,3,5,0,,0,,1,,1,76,2,0,0,21,,32,0,1,0
120303,1437,3,64,14,12,4,,9,,4,,23,269,15,0,4,92,,274,2,2,7
120305,434,1,11,5,4,0,,0,,0,,0,113,9,0,0,46,,85,0,0,1
120306,217,1,8,0,0,0,,3,,0,,0,69,0,1,0,21,,53,0,0,0
120309,384,1,16,6,7,1,,0,,0,,3,153,2,0,0,12,,39,0,0,0
120310,799,1,29,8,10,6,,5,,0,,3,179,11,0,1,63,,176,0,0,2
120401,3284,2,202,55,38,6,,14,,4,,29,261,20,2,6,181,,835,3,2,3
120402,510,1,21,0,4,0,,0,,0,,3,49,1,4,3,18,,158,1,0,1
120403,3372,3,173,34,20,5,,14,,2,,31,287,25,3,6,167,,911,2,0,9
120501,468,1,19,1,0,1,,3,,1,,5,28,3,0,0,55,,157,0,0,0
120502,1308,0,59,28,12,4,,6,,0,,16,39,8,1,0,276,,321,1,1,3
120503,283,0,8,6,2,0,,0,,1,,3,2,1,0,0,58,,66,0,0,2
120504,693,4,32,6,1,1,,3,,0,,8,16,7,0,0,147,,178,0,0,4
120601,294,0,7,11,0,0,,0,,0,,1,16,6,1,0,61,,91,0,0,1
120604,706,1,26,9,9,2,,1,,1,,1,42,10,0,1,64,,214,1,0,1
120605,214,3,10,1,0,1,,0,,1,,0,17,6,0,2,27,,76,0,0,3
120607,1838,3,99,34,14,8,,5,,4,,18,104,13,1,2,224,,478,1,3,5
120706,953,0,29,20,7,0,,1,,2,,5,32,5,0,1,61,,278,0,6,0
120707,1427,7,43,46,23,5,,4,,1,,9,18,8,0,6,134,,354,0,2,2
120708,636,6,30,15,40,1,,2,,0,,2,27,4,0,1,27,,172,0,2,1
120712,8368,41,326,285,167,32,,21,,8,,86,155,16,6,17,921,,1456,5,12,15
120713,5010,12,173,87,91,14,,9,,2,,43,87,15,3,9,214,,953,0,15,8
120714,723,1,28,22,5,0,,3,,0,,3,39,10,0,1,58,,158,0,2,1
120715,1965,6,105,63,48,2,,8,,2,,14,98,20,2,5,158,,482,1,2,5
120801,826,2,33,19,10,1,,2,,0,,10,57,6,1,1,80,,219,2,0,0
120802,1649,9,74,43,29,2,,4,,0,,9,60,5,2,0,261,,460,4,0,6
120803,216,0,6,4,3,0,,0,,0,,1,25,3,1,0,33,,73,0,0,1
120902,549,1,19,1,1,0,,0,,2,,0,31,9,0,0,42,,236,0,1,1
