,,A,B.E.,CDS-PP,CH,IL,JPP,L,MAS,MPT,NC,PAN,PCP-PEV,PCTP/MRPP,PDR,PNR,PPD/PSD,PPM,PS,PTP,PURP,R.I.R.
0911,13149,25,416,324,78,23,,15,,19,4,49,145,24,12,11,1974,10,2052,23,13,28
0912,22000,60,874,419,294,79,,65,,20,15,181,548,69,16,18,3472,16,4817,22,22,55
0913,9134,25,276,285,62,16,,14,,4,7,55,95,13,1,14,1788,3,1824,10,6,31
0914,7400,9,203,162,25,16,,9,,6,5,51,105,13,2,2,1231,1,1254,3,11,17
1001,48527,305,2273,1517,430,238,24,242,18,63,63,680,1061,210,75,88,9604,46,8520,47,51,214
1002,6121,23,164,288,54,8,5,11,3,13,5,51,40,14,6,5,1738,13,777,10,7,15
1003,11363,40,336,223,86,43,5,40,8,20,11,129,126,27,21,13,2833,12,2158,14,14,44
1004,13994,83,665,661,107,112,14,68,5,25,22,217,168,47,28,31,3297,20,2019,22,20,79
1005,11081,41,547,396,91,34,2,61,6,11,10,173,403,49,19,20,1611,19,2121,9,12,43
1006,45411,254,2539,1250,349,222,17,281,10,69,50,786,999,152,61,71,7532,45,7320,31,59,134
1007,2645,12,125,71,6,8,0,3,1,0,2,24,40,13,2,2,360,4,733,1,1,8
1008,5455,11,156,131,36,20,0,16,2,4,8,68,39,11,8,3,1187,8,1116,1,10,17
1009,113021,747,6067,4201,922,734,59,673,52,232,186,2066,1828,379,133,175,23395,129,18903,103,131,439
1010,34172,158,2616,442,259,167,20,160,19,59,72,659,2536,263,29,64,3020,33,6373,45,36,112
1011,14409,40,794,185,62,40,4,46,7,17,17,154,407,54,15,12,1374,16,2459,7,19,44
1012,10408,50,548,237,86,55,10,50,1,11,17,166,279,49,2,13,1640,10,2057,9,11,51
1013,3182,20,101,52,48,3,0,2,2,1,4,26,31,11,2,5,711,6,603,1,0,6
1014,24330,77,1102,337,234,80,12,90,8,34,32,357,842,134,17,37,2662,29,4248,13,34,129
1015,50059,197,1856,1266,431,183,27,199,17,74,55,563,440,121,89,51,9728,69,6413,44,55,197
1016,20887,125,1036,648,120,107,18,111,8,34,29,294,298,97,39,32,4269,33,3662,23,26,121
1101,35505,182,1972,725,348,200,,213,30,51,50,573,1998,294,138,84,3652,42,8131,35,20,133
1102,11085,86,578,258,115,116,,80,9,17,15,233,482,48,19,24,1650,16,2712,4,8,25
1103,17560,82,1163,259,237,112,,105,11,28,14,281,1074,143,110,42,1517,23,3816,19,28,50
1104,11836,48,472,217,109,41,,53,9,12,6,174,255,56,50,16,1939,18,2571,10,16,40
1105,177498,1739,8499,6496,1692,3076,,1823,65,256,266,4837,5334,638,128,426,28440,184,31408,79,171,291
1106,483087,4248,26619,17047,4016,11884,,9508,288,552,661,11891,20418,1793,292,888,74162,476,96950,253,492,731
1107,168563,883,9036,2640,2881,1635,,1329,104,241,226,4075,11369,1041,199,454,17654,159,40082,102,167,408
1108,22991,109,989,617,288,107,,131,23,40,20,436,388,85,19,60,4010,25,4064,20,17,133
1109,65642,625,3531,1482,875,684,,596,59,114,106,1826,1911,261,54,156,10190,65,13566,44,70,237
1110,146733,1404,8638,4955,1354,2953,,2326,59,249,245,4308,5894,465,95,274,24174,155,31096,54,170,308
1111,318983,1914,18678,5890,4190,2646,,2682,225,538,438,8550,12512,1497,261,1080,32408,299,65618,206,354,899
1112,8399,35,400,170,68,67,,61,9,14,10,150,689,94,9,21,876,17,1828,5,10,37
1113,68231,548,3632,1642,720,501,,475,52,128,95,1344,2314,413,94,150,9862,92,14265,64,70,236
1114,113348,563,7341,1727,1623,874,,1048,82,158,153,2894,8766,750,175,312,9914,85,25906,76,123,330
1115,145142,830,8464,2340,1755,1113,,1376,112,205,208,3615,7126,735,119,424,14387,175,33330,108,206,314
1116,126444,740,6932,2037,1782,1157,,1001,99,180,200,3349,5259,610,122,408,14102,127,29334,90,179,358
1201,2739,13,123,91,35,6,,5,,0,,20,193,18,1,8,348,,642,2,1,8
1202,2561,1,97,72,36,3,,10,,2,,22,98,19,0,4,386,,589,2,1,9
1203,3486,7,133,36,38,11,,17,,5,,30,859,39,1,5,255,,659,2,3,10
1204,7166,6,396,89,62,11,,28,,6,,63,597,46,9,15,366,,1904,6,2,13
